Date,Source,Signal Type,Ticker,Entity,Direction,Value (USD),Traded At,More Info
2026-03-24 13:02,sec_form144,form144_presale,,Stehlin David,SELL,37907.33,2026-03-23,Nano Dimension Ltd.
2026-03-24 13:02,sec_form144,form144_presale,,Brenton John,SELL,33471.81,2026-03-23,Nano Dimension Ltd.
2026-03-24 11:33,sec_form144,form144_presale,,JEK TRUST U/A DTD 02/08/2021,SELL,2046120.0,2026-03-23,ALIGNMENT HEALTHCARE INC
2026-03-24 11:33,sec_form144,form144_presale,,AGARWAL 2018 FAMILY TRUST,SELL,2501600.0,2026-03-23,"Datadog, Inc."
2026-03-24 11:33,sec_form144,form144_presale,,DAVID SCHWARZBACH,SELL,187500.0,2026-03-23,YELP INC.
2026-03-24 11:33,sec_form144,form144_presale,,PATRIZIO VINCIARELLI,SELL,974734.96,2026-03-23,VICOR CORPORATION
2026-03-24 11:33,sec_form144,form144_presale,,JACOB SUEN,SELL,4770.0,2026-03-23,"AIRGAIN, INC."
2026-03-24 11:33,sec_form144,form144_presale,,SONALEE PAREKH,SELL,124468.05,2026-03-23,ASANA INC
2026-03-24 11:33,sec_form144,form144_presale,,KAREN FOSTER,SELL,48576.45,2026-03-23,"BioLife Solutions, Inc."
2026-03-24 11:33,sec_form144,form144_presale,,DIANA SROKA,SELL,8796.65,2026-03-23,"SOUNDHOUND AI, INC."
2026-03-24 11:33,sec_form144,form144_presale,,LUIS MULLER,SELL,10818563.0,2026-03-23,CELESTICA INC
2026-03-24 11:33,sec_form144,form144_presale,,Scarlett Kathleen,SELL,515291.34,2026-03-23,BEST BUY CO INC
2026-03-24 11:33,sec_form144,form144_presale,,Shah Niraj,SELL,8323118.54,2026-03-23,Wayfair Inc.
2026-03-24 11:33,sec_form144,form144_presale,,Terrance Coyne,SELL,1586817.51,2026-03-23,Royalty Pharma plc
2026-03-24 11:33,sec_form144,form144_presale,,Weber David A.,SELL,79329.64,2026-03-23,Northwest Natural Holding Co
2026-03-24 11:33,sec_form144,form144_presale,,KINSEY WOLF,SELL,59057.28,2026-03-23,HYATT HOTELS CORPORATION
2026-03-24 11:33,sec_form144,form144_presale,,Barry Corie S,SELL,2744443.37,2026-03-23,BEST BUY CO INC
2026-03-24 11:33,sec_form144,form144_presale,,Paul Campbell,SELL,283508.28,2026-03-23,Viatris Inc
2026-03-24 11:33,sec_form144,form144_presale,,WILLIAM S. SIMON,SELL,468081.69,2026-03-23,"DARDEN RESTAURANTS, INC."
2026-03-24 11:33,sec_form144,form144_presale,,Prame Thomas M,SELL,107744.0,2026-03-23,HORIZON BANCORP INC /IN/
2026-03-24 11:33,sec_form144,form144_presale,,Conine Steven,SELL,8330639.27,2026-03-23,Wayfair Inc.
2026-03-24 11:33,sec_form144,form144_presale,,Bonfig Jason J,SELL,405626.29,2026-03-23,BEST BUY CO INC
2026-03-24 11:33,sec_form144,form144_presale,,KANG SUN,SELL,3507631.4,2026-03-23,"AMPRIUS TECHNOLOGIES, INC."
2026-03-24 11:33,sec_form144,form144_presale,,Hartman Todd G.,SELL,341799.04,2026-03-23,BEST BUY CO INC
